#- ==========================================================================================================================
# GOA Pacific ocean perch .dat file for ADMB optimization
# New data provided on, 2019-10-17
# Notes:
#   ~ Total catch prior to 1990 frozen
#   ~ Total catch from 1991 on uses catch downloaded from AKFIN
#   ~ Weight-at-age and current length-age transition matrix automatically updated
#   ~ Formatted to conduct automated retrospective analysis
#   ~ This data file provides ABL kluge for 2001 survey biomass for Eastern Gulf
#   ~ Does not use most recent years fishery size data
#   ~ Does not use fishery size data in years when ages are expected
#==========================================================================================================================


#==========================================================================================================================
# Model input parameters/vectors
#==========================================================================================================================
# Start and end years, recruitment age, number of age and length bins
# Model start year (styr):
1961
# Model end year (endyr): #!
2019
# Age at recruitment (recage): #-
2
# Number of ages in data (nages_D):
24
# Number of ages in model (nages_M):
28
# Number of length bins (nlenbins):
30
# Number of age-age transition matrices (n_ageage_mat):
1
# Number of size-age transition matrices (n_sizeage_mat):
2
# Length bin labels (len_bin_labels):
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45
# Spawn month (spawn_fract):
5
# Weight-at-age (wt):
43.5 96.7 164.6 240.2 318 393.7 464.7 529.4 587.3 638.1 682.3 720.3 752.8 780.3 803.6 823.1 839.5 853.2 864.6 874.2 882.1 888.7 894.1 898.7 902.4 905.5 908.1 915.3


#==========================================================================================================================
# Fishery catch (mt): obs_catch(styr,endyr)
#==========================================================================================================================
#!1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
16000 65000 136300 243400 348600 200800 120000 100200 72600 44900 77500 77600 56400 51000 50400 45500 21600 8000 8300 10800 10500 5400 2821 2752 800 2200 4500 8540 11780 13090 6548 6538 2060 1841 5741 8378 9519 8908 10473 10146 10817 11734 10846 11640 11248 13595 12955 12461 12986 15617 14224 14916 13183 17675 18734 23133 23883 24724 23768
#-


#==========================================================================================================================
# CPUE Data
#==========================================================================================================================
# Number of CPUE years
0
# CPUE observations (leave blank if 0)


#==========================================================================================================================
# Trawl Survey Biomass
#==========================================================================================================================
#! Number of trawl surveys: nyrs_srv1
14
#- Trawl survey years: yrs_srv1(1,nyrs_srv1) #!
1990 1993 1996 1999 2001 2003 2005 2007 2009 2011 2013 2015 2017 2019
#- Observed trawl survey biomass (mt): obs_srv1_biom(1,nyrs_srv1) #!
157295 483622 771413 727064 820066 457422 764901 688180 649449 778670 1298443 1140407 1570359 1212145
#- SE of observed trawl survey biomass: obs_srv1_se(1,nyrs_srv1) #!
47129 108643 203554 388566 232393 72015 146628 114172 117761 135506 213516 176812 350210 164066
#- Lower CI, 1.96*SE #!
64922 270682 372447 0 364576 316273 477510 464403 418637 513078 879952 793855 883947 890576
#- Upper CI, 1.96*SE #!
249668 696562 1170379 1488653 1275556 598571 1052292 911957 880261 1044262 1716934 1486959 2256771 1533714
#-


#==========================================================================================================================
# Longline Survey Biomass
#==========================================================================================================================
# Number of longline surveys: nyrs_srv2
1
# Longline survey years: yrs_srv2(1,nyrs_srv2)
1999
# Observed longline survey biomass (mt): obs_srv2_biom(1,nyrs_srv2)
1000
# SE of observed longline survey biomass: obs_srv2_se(1,nyrs_srv2)
100
# Lower CI, 1.96*SE
10
# Upper CI, 1.96*SE
10000


#==========================================================================================================================
# Fishery Age Composition
#==========================================================================================================================
#! Number of years: nyrs_fish_age
15
#- Fishery age comp years: yrs_fish_age #!
1990 1998 1999 2000 2001 2002 2004 2005 2006 2008 2010 2012 2014 2016 2018
#- Number of samples: nsamples_fish_age(1,nyrs_fish_age) #!
578 513 376 734 521 370 802 727 734 609 631 1024 871 1201 1032
#- Number of hauls: nhauls_fish_age(1,nyrs_fish_age) #!
37 49 195 300 227 237 261 242 249 363 418 603 581 790 749
#- Index for age-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
#- Observed fishery age compositions (proportions at age): oac_fish(1,nyrs_fish_age,1,nages) #!
0 0.000803859 0.004517853 0.025706947 0.046173264 0.091095708 0.072337256 0.086668889 0.120598152 0.066890001 0.09374699 0.065340332 0.10229468 0.043087414 0.015622028 0.018824983 0.008709765 0.008637741 0.007741559 0.009072985 0.002491774 0.00425531 0.003849012 0.101533501
0 0 0 0 0 0.007287845 0.010298402 0.049333285 0.148640406 0.163598168 0.198156849 0.115243309 0.110761195 0.055610206 0.029362958 0.036019869 0.012837854 0.013721894 0.00165077 0.003614924 0.003868728 0.010821877 0.001803064 0.027368396
0 0 0 0.002430402 0.020956695 0.029706142 0.031765628 0.043417738 0.051412008 0.186613163 0.189783046 0.122744864 0.082174739 0.113176117 0.054650816 0.022302494 0.017339632 0.002612357 0.00307943 0 0.008135999 0.007291206 0 0.010407523
0 0 0.004579653 0.011803511 0.034080475 0.022237434 0.054691812 0.064223118 0.056489922 0.053364343 0.132736485 0.128116672 0.112147822 0.106317933 0.06229067 0.053185518 0.032287393 0.025697884 0.008612689 0.009023539 0.011147311 0.004179353 0.001299954 0.01148651
0 0.001907992 0.002755989 0.002967988 0.025146128 0.044633225 0.02868654 0.062659326 0.063362926 0.060011535 0.062369394 0.125903105 0.139442801 0.084612427 0.085720447 0.062032811 0.066097833 0.039096855 0.01670678 0.010172112 0.003391986 0.005155514 0 0.007166286
0 0 0.002070289 0.023547431 0.016239881 0.037892634 0.115791528 0.085230619 0.107207322 0.103883994 0.054483264 0.067463326 0.098235153 0.078674251 0.058275607 0.056650261 0.03298864 0.032929092 0.009177039 0.001838709 0.004162 0.002297516 0.001838709 0.009122736
0 0 0.001782139 0.006806046 0.051119486 0.03994302 0.049371374 0.167384396 0.181432848 0.067394954 0.073207631 0.067606576 0.035683947 0.036434614 0.048940192 0.049295496 0.041238153 0.028778367 0.020740384 0.008357726 0.00752999 0.005780298 0.005887085 0.005285278
0 0.001536435 0.001755926 0.010770542 0.020188859 0.085318555 0.083412415 0.103244295 0.144096224 0.115993773 0.077076874 0.048436406 0.045249782 0.020449485 0.030510721 0.051132523 0.041529855 0.031706882 0.025466806 0.024173836 0.011699566 0.007762772 0.005962482 0.012524983
0 0 0.001543508 0.001361288 0.048591932 0.090798666 0.118548215 0.108654091 0.082678732 0.106446417 0.087735425 0.058782882 0.035380649 0.034614303 0.02485577 0.026649875 0.036117285 0.036079212 0.027033423 0.025174978 0.009450118 0.013902634 0.00972329 0.015877307
0 0 0.001532371 0.003320138 0.030700312 0.032728351 0.097294316 0.099997958 0.162010557 0.108108546 0.047688956 0.092257769 0.052423756 0.04291683 0.023064154 0.024788652 0.011622454 0.026652851 0.027356275 0.028180679 0.026027189 0.018936905 0.013236138 0.029154842
0 0 0.013412211 0.008399566 0.021759776 0.019170379 0.068492808 0.069894801 0.117511783 0.146299992 0.118939811 0.072966995 0.057176167 0.05084591 0.039882564 0.038402435 0.02091965 0.013690891 0.013747537 0.016827718 0.034160312 0.010992361 0.005823691 0.04068264
0 0 0.021850487 0.030010358 0.020743532 0.025059029 0.031466753 0.045616285 0.088317829 0.102050938 0.111730772 0.089038977 0.090902181 0.050752106 0.044263321 0.050247507 0.033841107 0.025454148 0.023030704 0.015133254 0.016161847 0.010611947 0.005429157 0.068287761
0 0 0.013516633 0.003739871 0.038799743 0.052834489 0.037883055 0.034983753 0.060208875 0.078206372 0.093565142 0.076986349 0.064096547 0.075013007 0.063392424 0.046878378 0.035692557 0.041046929 0.032314939 0.013729122 0.020602591 0.015239915 0.019285079 0.081984231
0 0.00045183 0.004526666 0.004257242 0.021207769 0.023115685 0.067975524 0.088622669 0.071744684 0.049810457 0.059093537 0.058705213 0.052421878 0.066024477 0.079208857 0.064626022 0.048832833 0.033645399 0.02677951 0.033061145 0.031739063 0.018520366 0.012830669 0.082798505
0 0 0.007282197 0.010222983 0.041790704 0.005665884 0.057447087 0.062905463 0.12166576 0.104764716 0.046954672 0.046713531 0.036229993 0.034517791 0.035462929 0.05228711 0.064846752 0.045476646 0.036031062 0.027269798 0.022448003 0.030833741 0.023168412 0.086014766
#-


#==========================================================================================================================
# Trawl Survey Age Composition
#==========================================================================================================================
#! Number of years: nyrs_srv1_age
12
#- Trawl Survey age comp years: yrs_srv1_age #!
1990 1993 1996 1999 2003 2005 2007 2009 2011 2013 2015 2017
#- Number of samples: nsamples_srv1_age(1,nyrs_srv1_age) #!
1754 1378 641 898 985 1009 1177 418 794 880 760 1053
#- Number of hauls: nhauls_srv1_age(1,nyrs_srv1_age) #!
54 48 16 78 99 106 88 85 159 86 64 73
#- Index for age-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1
#- Observed trawl survey age compositions (proportions at age): oac_srv1(1,nyrs_srv1_age,1,nages) #!
0.00463038415548066 0.0427152127079499 0.15488838737311 0.123913155099783 0.117065809628802 0.0888355141443848 0.0646749136357282 0.0537198717836748 0.054596758970045 0.0361818965244875 0.0237826665756347 0.0280876581214351 0.071587237726857 0.0170332736171199 0.0106537123969166 0.00461480784163353 0.00806342878192405 0.00380556455760766 0.00622789605638211 0.00417746000021107 0.0017397060751108 0.00208133815697934 0.00644335886382177 0.0704799872049208
0.00566423545135631 0.0181608318481703 0.0206887900816932 0.0444879065072792 0.0877252185508748 0.125316933214709 0.129187524119362 0.165811319669863 0.0915278509501083 0.0448941046255183 0.0515064558485271 0.0380810684412255 0.0246991944105521 0.0259860916585177 0.0111828436226247 0.0362660272689935 0.00733080961267456 0.002807203479346 0.00237687850117085 0.00176142205745784 0.00416689414985432 0.00249327418939583 0.00354006883634576 0.0543370529043801
0.00629326788279421 0.016274762201142 0.0358242918322185 0.0429534216452414 0.0629081881229876 0.03772057690164 0.0881824500879946 0.14474742516224 0.185215924883012 0.110324999198016 0.0802175973151554 0.0344227872994958 0.036442893977929 0.0276072108549333 0.00579542575918642 0.0128665183508061 0.00866992263052919 0.0135383322648464 0.0130054898964056 0.00343182319933121 0.00383111087476686 0.00254545867263148 0 0.0271801209866963
0.00599226300442453 0.0203233924413616 0.0453686474371374 0.0516318844011847 0.0255575585675319 0.0405527457639818 0.0590927822938797 0.0945638354879166 0.0540185710635234 0.11378301526161 0.143666500172989 0.0860825491716109 0.0666289934172218 0.0455129462318195 0.0398680713149102 0.0227908789661919 0.0133074854404377 0.00319345329690593 0.0122089130445847 0.00693280188771488 0.007911379390524 0.0116089093818822 0.00449985004507049 0.0249025725155849
0.0163803665607801 0.0566075895051648 0.0534505706064444 0.0712519975043928 0.0396345098252209 0.0537930035640924 0.107172843407461 0.115060173471432 0.056776644639304 0.0531765626650534 0.043902502958867 0.0361197783371143 0.0573736075327344 0.0475538112988279 0.0416978205484047 0.0321727863710051 0.0290201888636006 0.0162377647696489 0.0148625470472987 0.00979575471477865 0.00458079424048641 0.00595419425972928 0.00670631374816961 0.030717873559988
0.00126683635131878 0.0344602496081408 0.0502090536278909 0.077290365256414 0.072822536261854 0.119048948385869 0.0695069133155128 0.0870281050144668 0.0915524037011633 0.0630472088483596 0.0345184978235434 0.0266783214606245 0.0305666075814926 0.0390075208133796 0.0221538437135324 0.0269198408114018 0.0357391867931177 0.0237344919524436 0.0210947776865319 0.0128509644105303 0.0183340272086891 0.00394875639182844 0.00839181889558172 0.029828724086313
0.00332018637796869 0.0203374172647825 0.0182450139248549 0.0435533910609893 0.0414753117890345 0.0564047888686454 0.0889222180572815 0.124813047838166 0.0937968022211968 0.0625383985992776 0.0643814392962737 0.0499230238197455 0.0296232811941887 0.0261205509273641 0.0134291279638694 0.0184152733026036 0.0388694668029346 0.027682920221057 0.0426190694790719 0.0241551659891993 0.0224661841673428 0.0159932301413991 0.0176544678908897 0.0552602228018638
0.00493409679727695 0.0869199601009433 0.0445080719876265 0.0486282502568014 0.0250754231857444 0.0963947851049001 0.0653109776222604 0.105704258221251 0.0472836778404869 0.0525649069054554 0.0793350580411384 0.0345144492169923 0.0387221732514747 0.0471856028260405 0.0133506659968793 0.00629289387645898 0.0145765119516778 0.00471949860450877 0.0122074833537274 0.0316338629752901 0.0620604410569687 0.0128591071493217 0.0221382284036953 0.0430796152730789
0.000690415859288277 0.0299051248383637 0.0459956166169706 0.123631502596186 0.042078201718552 0.0359045052121327 0.0240503027576832 0.070994512125531 0.0732781870135545 0.104686164058384 0.0728411936777278 0.0652444969045154 0.0469295453653404 0.0368379634567351 0.0235817206473958 0.0153608163675959 0.0239817374094051 0.023591668697655 0.0231741815122851 0.0184872228105144 0.00884481578879319 0.0181111793735331 0.018851671256866 0.0529472539349914
0.00011058418834871 0.0220104375160791 0.012294437441885 0.0668110443415409 0.0576219711795909 0.0640456978347654 0.0554692037791013 0.0571683956255865 0.0418496491720412 0.0662795504130003 0.0636393036275372 0.0674847559517181 0.0592669443353615 0.0526358411484911 0.0292361125035892 0.0301707578524511 0.0374155559435311 0.0288257058908669 0.0239147933702555 0.0180302884066636 0.010570741406342 0.0157816133666456 0.0157127847224908 0.103653829982117
